"영상 번호","의문사있는 의문형","한국어 번역","형태소 개수","한국수어 형태소","","","","","","",""
"0080","","여기가 (서울역)인가요?","3","여기","서울","지하철","","","","",""
"0081","","여기는 (송파역)입니다.","4","여기","송파","지하철","맞다","","","",""
"0082","","여기가 (송파역)인가요?","4","여기","송파","지하철","맞다","","","",""
"0083","","여기서 (1호선)을 탈 수 있습니다.","3","여기","1호","되다","","","","",""
"0084","","여기서 (1호선)을 탈 수 있나요?","3","여기","1호","되다","","","","",""
"0085","","여기서 (기차)를  탈 수 있습니다.","3","여기","기차","되다","","","","",""
"0086","","여기서 (기차)를  탈 수 있나요?","3","여기","기차","되다","","","","",""
"0087","","여기서 (택시)를 탈 수 있습니다.","3","택시","여기","되다","","","","",""
"0088","","여기서 (택시)를 탈 수 있나요?","3","택시","여기","되다","","","","",""
"0089","","목적지는 (명동역)입니다.","4","도착","곳","명동","지하철","","","",""
"0090","","목적지가 (명동역)인가요?","4","도착","곳","명동","지하철","","","",""
"0091","","목적지는 (다음 역)입니다.","3","하나","다음","도착","","","","",""
"0092","","(다음 역)에서 내리시나요?","3","하나","다음","내리다","","","","",""
"0093","","목적지는 (국립 박물관)입니다.","3","도착","곳","국립박물관","","","","",""
"0094","","목적지는 (국립 박물관)인가요?","3","도착","곳","국립박물관","","","","",""
"0095","","이번 열차는 급행 열차입니다.","3","지하철","빨리","오다오다","","","","",""
"0096","","이번 열차는 급행 열차인가요?","3","지하철","빨리","오다오다","","","","",""
"0097","","열차가 들어오고 있습니다.","2","지하철오다","중","","","","","",""
"0098","","열차가 아직 안 들어오나요?","2","지하철오다","아직","","","","","",""
"0099","","모두 (4)명입니다.","1","4사람","","","","","","",""
"0100","X","모두 (4)명인가요?","1","4사람","","","","","","",""
"0101","","(1번) 승강장입니다.","4","지하철","곳","번호","1","","","",""
"0102","","(1번) 승강장인가요?","4","지하철","곳","1","무엇","","","",""
"0103","","(12번) 승강장입니다.","3","지하철","곳","12","","","","",""
"0104","","(12번) 승강장인가요?","4","지하철","곳","12","무엇","","","",""
"0105","","(1호선)이 맞습니다.","2","1호","맞다","","","","","",""
"0106","","(1호선)이 맞나요?","2","1호","맞다","","","","","",""
"0107","","(명동역)이 맞습니다.","4","지하철","곳","명동","맞다","","","",""
"0108","","(명동역)이 맞나요?","4","지하철","곳","명동","맞다","","","",""
"0109","","가능합니다.","1","가능","","","","","","",""
"0110","X","가능한가요?","1","가능","","","","","","",""
"0111","","안 됩니다.","1","안되다","","","","","","",""
"0112","X","안되나요?","1","안되다","","","","","","",""
"0113","","타세요.","1","타다","","","","","","",""
"0114","X","탈까요?","1","타다","","","","","","",""
"0115","","(1호선)을 타는 곳입니다.","2","1호","곳","","","","","",""
"0116","","(1호선)을 타는 곳은 어디인가요?","3","1호","곳","무엇","","","","",""
"0117","","(신분당선)을 타는 곳입니다.","2","신분당","곳","","","","","",""
"0118","","(신분당선)을 타는 곳은 어디인가요?","3","신분당","곳","무엇","","","","",""
"0119","","내리세요.","1","내리다","","","","","","",""
"0120","X","내릴까요?","1","내리다","","","","","","",""
"0121","","(1호선)으로 환승하려고 합니다.","3","1호","갈아타다","목적","","","","",""
"0122","","(1호선) 환승하는 곳이 어디인가요?","4","1호","갈아타다","목적","곳곳","","","",""
"0123","","(9호선)으로 환승하려고 합니다.","3","9호","갈아타다","목적","","","","",""
"0124","","(9호선) 환승하는 곳이 어디인가요?","4","9호","갈아타다","목적","곳곳","","","",""
"0125","","도착했습니다.","1","도착","","","","","","",""
"0126","X","도착했나요?","1","도착","","","","","","",""
"0127","","지연되었습니다.","2","시간","지연되다","","","","","",""
"0128","","지연되었나요?","2","시간","지연되다","","","","","",""
"0129","","(5분) 지연되었습니다.","3","시간","지연되다","5분","","","","",""
"0130","","(5분) 지연되었나요?","2","지연되다","5분","","","","","",""
"0131","","아직 (도착) 안 했습니다.","2","도착","아직","","","","","",""
"0132","","아직 (도착) 안 했나요?","2","도착","아직","","","","","",""
"0133","","있습니다.","1","있다","","","","","","",""
"0134","X","있나요?","1","있다","","","","","","",""
"0135","","(짐)이 있습니다.","2","짐","있다","","","","","",""
"0136","","(짐)이 있으세요?","2","짐","있다","","","","","",""
"0137","","(자전거)가 있습니다.","2","자전거","있다","","","","","",""
"0138","","(자전거)가 있으세요?","2","자전거","있다","","","","","",""
"0139","","근처에 (약국)이 있습니다.","2","약","가깝다","","","","","",""
"0140","","근처에 (약국)이 있나요?","2","약","가깝다","","","","","",""
"0141","","근처에 (택시 승강장)이 있습니다.","3","택시","곳","가깝다","","","","",""
"0142","","근처에 (택시 승강장)이 있나요?","3","택시","곳","가깝다","","","","",""
"0143","","근처에 (버스 정류장)이 있습니다.","3","버스","곳","가깝다","","","","",""
"0144","","근처에 (버스 정류장)이 있나요?","3","버스","곳","가깝다","","","","",""
"0145","","없습니다.","1","없다","","","","","","",""
"0146","X","없으세요?","1","없다","","","","","","",""
"0147","","(짐)이 없습니다.","2","짐","없다","","","","","",""
"0148","","(짐)은 없으세요?","2","짐","없다","","","","","",""
"0149","","(물건)이 없습니다.","2","물건","없다","","","","","",""
"0150","","(물건)은 없으세요?","2","물건","없다","","","","","",""
"0151","","트렁크에 짐을 넣겠습니다.","4","짐","차","트렁크열다","나르다","","","",""
"0152","","트렁크에 짐을 넣을까요?","4","짐","차","트렁크열다","나르다","","","",""
"0153","","트렁크 좀 닫아주세요.","2","뒤","트렁크닫다","","","","","",""
"0154","","트렁크 좀 닫아드릴까요?","2","뒤","트렁크닫다","","","","","",""
"0155","","(천천히) 설명해주세요.","2","설명","천천히","","","","","",""
"0156","","(다시) 설명해드릴까요?","2","설명","다시","","","","","",""
"0157","","설명이 (어렵)습니다.","2","설명","어렵다","","","","","",""
"0158","","설명이 (어려우)신가요?","2","설명","어렵다","","","","","",""
"0159","","(다시) 설명해주세요.","2","설명","다시","","","","","",""
"0160","","힘드세요?","1","힘들다","","","","","","",""
"0161","","(도착하면) 알려주세요.","2","도착","알려주다","","","","","",""
"0162","","(도착하면) 알려드릴까요?","2","도착","알려주다","","","","","",""
"0163","","휴대폰 번호입니다.","2","핸드폰","번호","","","","","",""
"0164","","휴대폰 번호를 알려드릴까요?","3","핸드폰","번호","필요","","","","",""
"0165","","몇 번 출구인가요?","3","지하철","계단","번호","","","","",""
"0166","","출구가 어디에 있나요?","3","지하철","지하위","곳곳","","","","",""
"0167","","몇 번 버스인가요?","2","버스","번호","","","","","",""
"0168","","(버스정류장)이 어디에 있나요?","3","버스","타다","곳곳","","","","",""
"0169","","주민등록증입니다.","1","신분증","","","","","","",""
"0170","X","(주민등록증) 있으세요?","1","신분증","","","","","","",""
"0171","","승차권입니다.","1","표","","","","","","",""
"0172","X","(승차권) 있으세요?","1","표","","","","","","",""
"0173","","잠시만 기다려주세요.","2","잠깐","기다리다","","","","","",""
"0174","","(여기서) 기다릴까요?","2","여기","기다리다","","","","","",""
"0175","","(여기에) 계세요.","2","여기","있다","","","","","",""
"0176","","(여기에) 있을까요?","2","여기","있다","","","","","",""
"0177","","목적지를 변경하고 싶습니다.","2","곳","바꾸다","","","","","",""
"0178","","목적지를 변경하시겠습니까?","2","곳","바꾸다","","","","","",""
"0179","","정기권 사용 내역을 알고 싶습니다.","5","한달","누적사용","내역","보다","원하다","","",""
"0180","","정기권 사용 내역을 보여드릴까요?","4","한달","누적사용","내역","보여주다","","","",""
"0181","","도와주세요.","1","도움받다","","","","","","",""
"0182","","도와주실 수 있으세요?","2","도움받다","가능","","","","","",""
"0183","","실수입니다.","1","실수하다","","","","","","",""
"0184","X","실수인가요?","1","실수하다","","","","","","",""
"0185","","사고가 났습니다.","1","발생하다","","","","","","",""
"0186","X","사고가 났나요?","1","발생하다","","","","","","",""
"0187","","괜찮아요.","1","괜찮다","","","","","","",""
"0188","X","괜찮으세요?","1","괜찮다","","","","","","",""
"0189","","좋습니다.","1","좋다","","","","","","",""
"0190","X","좋으세요?","1","좋다","","","","","","",""
"0191","","만족합니다.","1","충분하다","","","","","","",""
"0192","X","만족하세요?","1","충분하다","","","","","","",""
"0193","","확인하겠습니다.","1","확인","","","","","","",""
"0194","","확인 할 수 있을까요?","2","확인","가능","","","","","",""
"0195","","모르겠습니다.","1","모르다","","","","","","",""
"0196","X","아시겠어요?","1","알다","","","","","","",""
"0197","","필요합니다.","1","필요","","","","","","",""
"0198","X","필요하세요?","1","필요","","","","","","",""
"0199","","제가 (콜)을 불렀습니다.","3","택시","문자보내다","나","","","","",""
"0200","","(콜)을 부르셨나요?","2","택시","문자받다","","","","","",""
"0201","","제가 (역무원)을 불렀습니다.","2","역무원","부르다","","","","","",""
"0202","","(역무원)을 불러드릴까요?","2","역무원","부르다","","","","","",""
"0203","","제가 (경찰)을 불렀습니다.","2","경찰","부르다","","","","","",""
"0204","","(경찰)을 불러드릴까요?","2","경찰","부르다","","","","","",""
"0205","","(마포대교)로 건너가주세요.","2","마포대교","가다","","","","","",""
"0206","","(마포대교)로 건너가드릴까요?","2","마포대교","가다","","","","","",""
"0207","","(잠실대교)로 건너가주세요.","2","잠실대교","가다","","","","","",""
"0208","","(잠실대교)로 건너가드릴까요?","2","잠실대교","가다","","","","","",""
"0209","","빨리 가주세요.","1","빨리","","","","","","",""
"0210","X","빨리 가드릴까요?","1","빨리","","","","","","",""
"0211","","(약국) 좀 들렀다가주세요.","3","약","보다","차내리다","","","","",""
"0212","","어디에서 (내려드릴까요)?","2","차내리다","곳곳","","","","","",""
"0213","","(어린이집) 좀 들렀다가주세요.","3","어린이집","보다","차내리다","","","","",""
"0214","","(어린이집)이 보이면 내려드릴까요?","3","어린이집","보다","차내리다","","","","",""
"0215","","(학교) 좀 들렀다가주세요.","3","학교","보다","차내리다","","","","",""
"0216","","(학교)가 보이면 내려드릴까요?","3","학교","보다","차내리다","","","","",""
"0217","","사거리 지나 (횡단보도) 앞에서 세워주세요.","4","사거리","건너다","신호등 ","차내리다","","","",""
"0218","","사거리 지날까요?","2","사거리","건너다","","","","","",""
"0219","","사거리에서 우회전 해주세요.","2","사거리","우회전","","","","","",""
"0220","","사거리에서 우회전 해드릴까요?","2","사거리","우회전","","","","","",""
"0221","","사거리 전 (버스정류장) 앞에 세워주세요.","5","사거리","전","버스","곳","차내리다","","",""
"0222","","사거리 못가서 내려주세요.","3","사거리","전","차내리다","","","","",""
"0223","","선로에 (물건)을 떨어뜨리셨나요?","4","지하철","철로","물건","떨어지다","","","",""
"0224","","저기 (신호등) 건너서 세워드릴까요?","3","신호등","다음","차내리다","","","","",""
"0225","","저기 (신호등) 앞에 세워주세요.","3","신호등","곳","차내리다","","","","",""
"0226","","저기 (신호등) 앞에 세워드릴까요?","3","신호등","곳","차내리다","","","","",""
"0227","","(우회전)하고 내려주세요.","2","우회전","차내리다","","","","","",""
"0228","","(우회전)해서 내려드릴까요?","2","우회전","차내리다","","","","","",""
"0229","","(좌회전)하고 내려주세요.","2","좌회전","차내리다","","","","","",""
"0230","","(좌회전)해서 내려드릴까요?","2","좌회전","차내리다","","","","","",""
"0231","","횡단보도 지나서 내려주세요.","3","신호등","횡단보도","건너다","","","","",""
"0232","","횡단보도 지나서요?","3","신호등","횡단보도","여기","","","","",""
"0233","","골목 들어가서 세워주세요.","2","지름길","차내리다","","","","","",""
"0234","","골목 들어가서 내려드릴까요?","2","지름길","차내리다","","","","","",""
"0235","","골목 들어가서 세워주세요.","2","지름길","내리다","","","","","",""
"0236","","골목 들어가서 내려드릴까요?","2","지름길","내리다","","","","","",""
"0237","","(롯데월드)로 가려면 몇 호선을 타야하나요?","5","롯데월드","가다","목적","지하철","번호","","",""
"0238","","(서울역)에 가려면 몇 호선을 타야하나요?","5","서울역","가다","목적","지하철","번호","","",""
"0239","","(국립박물관)에 가려면 몇번 출구로 나가야 하나요?","5","국립박물관","가다","목적","지하철","번호","","",""
"0240","","(강남역)으로 가려면 몇호선으로 갈아타야 하나요?","6","강남","가다","목적","지하철","갈아타다","몇호","",""
"0241","","(서울역)으로 가려면 몇호선으로 갈아타야 하나요?","6","서울역","가다","목적","지하철","갈아타다","몇호","",""
"0242","","(12번 출구)입니다.","4","지하철","계단","곳","12","","","",""
"0243","","(12번 출구)는 어디에 있나요?","3","지하철","계단","12","무엇","","","",""
"0244","","종로역입니다.","2","종로","가다","","","","","",""
"0245","","(종로역)으로 어떻게 가나요?","3","종로","가다","방법","","","","",""
"0246","","(9호선) 타는 곳입니다.","3","지하철","곳","9호","","","","",""
"0247","","(9호선) 타는 곳은 어디에 있나요?","2","9호","곳곳","","","","","",""
"0248","","(8호선) 타는 곳입니다.","3","지하철","곳","8호","","","","",""
"0249","","(8호선) 타는 곳은 어디에 있나요?","2","8호","곳곳","","","","","",""
"0250","","(막차)는 몇 시인가요?","2","막차","시간","","","","","",""
"0251","","(첫차)는 몇 시인가요?","2","첫차","시간","","","","","",""
"0252","","다음 역까지 몇 분 걸리나요?","2","다음","몇분","","","","","",""
"0253","","오늘도 수고 많으셨습니다.","3","오늘","하루","수고","","","","",""
"0254","","만나서 반갑습니다.","2","만나다","반갑다","","","","","",""
"0255","","(50분) 정도 소요됩니다.","2","50분","정도","","","","","",""
"0256","","도착하려면 몇 분 남았을까요?","2","도착","몇분","","","","","",""
"0257","","대략 (40분)입니다.","2","대략","40분","","","","","",""
"0258","","(40분) 뒤에 도착하나요?","2","도착","40분","","","","","",""
"0259","","(잔돈)주세요.","3","계산","남다","돈받다","","","","",""
"0260","","(잔돈)드릴까요?","3","계산","남다","돈주다","","","","",""
"0261","","(금액)이 맞지않습니다.","2","계산","틀리다","","","","","",""
"0262","","(금액)이 맞지않나요?","2","계산","잘못하다","","","","","",""
"0263","","(여기서) 내리겠습니다.","2","지금","내리다","","","","","",""
"0264","","(여기서) 내리시겠습니까?","2","지금","내리다","","","","","",""
"0265","","몇 분 뒤에 도착할까요?","3","도착","가능","몇분","","","","",""
"0266","","(용산역) 근처에 주차하겠습니다.","3","용산역","접근","주차","","","","",""
"0267","","(용산역)에 주차할 수 있나요?","3","용산역","주차","되다","","","","",""
"0268","","(어린이집)에 주차하겠습니다.","2","어린이집","주차","","","","","",""
"0269","","(어린이집)에 주차할 수 있나요?","3","어린이집","주차","되다","","","","",""
"0270","","(학교)에 주차하겠습니다.","2","학교","주차","","","","","",""
"0271","","(학교)에 주차할 수 있나요?","3","학교","주차","되다","","","","",""
"0272","","몇 분 뒤에 다음 역에 도착할까요?","2","다음","몇분","","","","","",""
"0273","","몇 호선으로 갈아타야 하나요?","3","지하철","갈아타다","몇호","","","","",""
"0274","","교통카드가 찍히지 않습니다.","3","지하철","단말기터치","안되다","","","","",""
"0275","","교통카드가 안 찍히나요?","3","지하철","단말기터치","안되다","","","","",""
"0276","","(병원)에 주차하겠습니다.","2","병원","주차","","","","","",""
"0277","","(병원)에 주차하시겠습니까?","2","병원","주차","","","","","",""
"0278","","지하철 안에 없습니다.","3","지하철","안","없다","","","","",""
"0279","","지하철 안에 없나요?","3","지하철","안","없다","","","","",""
"0280","","저 표지판 표시를 따라가면 됩니다.","3","표지판","보다","찾다","","","","",""
"0281","","지도를 보고 찾아갈 수 있나요?","5","길","지도","보다","찾다","가능","","",""
"0282","","지하철에 가방을 놓고 내렸습니다.","4","지하철","가방","위로올리다","까먹다","","","",""
"0283","","반대편 승차장으로 가려고 합니다.","4","지하철","반대","건너다","가다","","","",""
"0284","","반대편 승차장으로 어떻게 갈 수 있나요?","4","지하철","반대","건너다","방법","","","",""
"0285","","아이를 잃어버렸습니다. 도와주세요.","4","아이","실종","찾다","도움받다","","","",""
"0286","","아이를 잃어버렸습니다. 도와주실 수 있으세요?","5","아이","실종","찾다","도움받다","가능","","",""
"0287","","어지러워 쓰러졌습니다.","2","어지럽다","쓰러지다","","","","","",""
"0288","","어지러워서 쓰러지신건가요?","2","어지럽다","쓰러지다","","","","","",""
"0289","","배가 꼬이듯 아픕니다.","3","배","위쪼이다","아프다","","","","",""
"0290","","배가 아프세요?","2","배","아프다","","","","","",""
"0291","","선로에 (가방)을 떨어뜨렸습니다.","4","지하철","철로","가방","떨어지다","","","",""
"0292","","선로에 (물건)을 떨어뜨렸습니다.","4","지하철","철로","물건","떨어지다","","","",""
"0293","","선로에 (휴대폰)을 떨어뜨렸습니다.","4","지하철","철로","핸드폰","떨어지다","","","",""
"0294","","지하철 틈 사이로 (물건)이 떨어졌습니다.","5","지하철","문","틈","물건","떨어지다","","",""
"0295","","지하철 틈 사이로 (휴대폰)이 떨어졌습니다.","5","지하철","문","틈","핸드폰","떨어지다","","",""
"0296","","지하철 틈 사이로 (이어폰)이 떨어졌습니다.","5","지하철","문","틈","이어폰","떨어지다","","",""
"0297","","연착 지연 증명서 발급해주세요.","3","연착","확인증","필요","","","","",""
"0298","","잠깐 기다려주세요.","2","잠깐","기다리다","","","","","",""
"0299","","잠깐 기다려주실 수 있나요?","3","잠깐","기다리다","괜찮다","","","","",""
"0300","","저기에 사람이 쓰러져 있어요.","2","저기","쓰러지다","","","","","",""
"0301","","저기에 사람이 쓰러져 있는데, 119 좀 불러주실 수 있나요?","5","저기","쓰러지다","119","전화걸다","가능","","",""
"0302","","아이가 혼자 방황하고 있습니다.","3","아이","혼자","방황","","","","",""
"0303","","앞 차 따라가 주세요.","2","뒤","차따라가다","","","","","",""
"0304","X","앞 차를 따라갈까요?","1","차따라가다","","","","","","",""
"0305","","교통카드 충전해주세요.","2","교통카드","충전","","","","","",""
"0306","","교통카드 충전 되나요?","3","교통카드","충전","되다","","","","",""
"0307","","(정기승차권)을 사고 싶습니다.","4","지하철","정기권","사다","원하다","","","",""
"0308","","(정기승차권)은 어디에서 사나요?","5","지하철","정기권","사다","무엇","곳","","",""
"0309","","(서울 내 지역 정기승차권)을 사고 싶습니다.","5","서울","지하철","정기권","사다","원하다","","",""
"0310","","(서울 내 지역 정기승차권)은 어디에서 사나요?","6","서울","지하철","정기권","사다","무엇","곳","",""
"0311","","선승인하겠습니다.","2","미리","카드","","","","","",""
"0312","","선승인하시겠습니까?","2","미리","카드","","","","","",""
"0313","","(계좌번호) 알려주세요","3","은행","번호","받다","","","","",""
"0314","","(계좌번호) 알려드릴까요?","3","은행","번호","필요","","","","",""
"0315","","(고속터미널)에서 (9호선)으로 갈아타려고 합니다.","4","고속","지하철","9호","갈아타다","","","",""
"0316","","(고속터미널)에서 (9호선)으로 갈아타려면 어디로 가야하나요?","5","고속","지하철","9호","갈아타다","방법","","",""
"0317","","(천호역)에서 (8호선)으로 갈아타려고 합니다.","4","천호","지하철","8호","갈아타다","","","",""
"0318","","(천호역)에서 (8호선)으로 갈아타려면 어디로 가야하나요?","5","천호","지하철","8호","갈아타다","방법","","",""
"0319","","(약수역)에서 (3호선)으로 갈아타려고 합니다.","4","약수","지하철","3호","갈아타다","","","",""
"0320","","(약수역)에서 (3호선)으로 갈아타려면 어디로 가야하나요?","5","약수","지하철","3호","갈아타다","방법","","",""
"0321","","어떻게 가는 것이 빠른가요?","4","지하철","가다","빨리","방법","","","",""
"0322","","(물건)을 잃어버렸습니다.","2","물건","잃어버리다","","","","","",""
"0323","","(물건)을 잃어버렸는데, 분실물은 어디서 찾나요?","4","물건","잃어버리다","보관","곳곳","","","",""
"0324","","역사 안에 (커피숍)이 있습니다.","4","지하철","곳","카페","있다","","","",""
"0325","","역사 안에 (커피숍)이 있나요?","4","지하철","곳","카페","있다","","","",""
"0326","","역사 안에 (편의점)이 있습니다.","4","지하철","곳","편의점","있다","","","",""
"0327","","역사 안에 (편의점)이 있나요?","4","지하철","곳","편의점","있다","","","",""
"0328","","역사 안에 (옷가게)가 있습니다.","4","지하철","곳","옷가게","있다","","","",""
"0329","","역사 안에 (옷가게)가 있나요?","4","지하철","곳","옷가게","있다","","","",""
"0330","","(잔액)이 충분합니다.","3","돈","남다","충분","","","","",""
"0331","","교통카드에 (잔액)이 얼마나 있나요?","4","교통카드","남다","돈","얼마","","","",""
"0332","","(막차)는 몇 시인가요?","2","막차","시간","","","","","",""
"0333","","(첫차)는 몇 시인가요?","2","첫차","시간","","","","","",""
"0334","","1호선 (첫차)는 몇 시인가요?","3","1호","첫차","시간","","","","",""
"0335","","분당선 (첫차)는 몇 시인가요?","3","분당","첫차","시간","","","","",""
"0336","O","어떤거요?","1","무엇","","","","","","",""
"0337","","(이름)이 어떻게 되세요?","2","이름","무엇","","","","","",""
"0338","O","어디요?","1","곳곳","","","","","","",""
"0339","O","누구요?","1","누구","","","","","","",""
"0340","O","어떻게 하나요?","1","어떻게","","","","","","",""
"0341","O","왜요?","1","왜","","","","","","",""
"0342","","몇 호선인가요?","2","지하철","몇호","","","","","",""
"0343","O","몇 명이신가요?","1","몇사람","","","","","","",""
"0344","","여기가 몇 호선인가요?","2","여기","몇호","","","","","",""
"0345","","객실에서 불쾌한 냄새가 납니다.","3","지하철","안","냄새","","","","",""
"0346","","객실 에어콘에서 불쾌한 냄새가 납니다.","4","지하철","안","에어컨","냄새","","","",""
"0347","","불편한 점이 있으시면 민원을 넣으세요.","3","불편하다","있다","신고","","","","",""
"0348","","민원은 어디에 넣나요?","3","불편하다","신고","곳","","","","",""
"0349","","잃어버린 휴대폰을 찾습니다.","3","핸드폰","잃어버리다","찾다","","","","",""
"0350","","(고속도로)가 빠릅니다.","2","고속","빨리","","","","","",""
"0351","","(고속도로)가 빠른가요?","2","고속","빨리","","","","","",""
"0352","","몇 분 (지연되었나요)?","3","시간","지연되다","몇분","","","","",""
"0353","","몇 번에서 (타면 되나요)?","4","지하철","문","여기","번호","","","",""
"0354","","안녕하세요.","1","안녕하세요","","","","","","",""
"0355","","감사합니다.","1","감사합니다","","","","","","",""
"0356","","죄송합니다.","1","미안합니다","","","","","","",""
"0357","","조심하세요.","1","조심","","","","","","",""
"0358","","(여기가) 맞습니다.","2","여기","맞다","","","","","",""
"0359","","(여기서 내리는 것)이 맞습니다.","3","여기","내리다","맞다","","","","",""
"0360","","(갈아타는 곳)이 맞습니다.","3","갈아타다","곳","맞다","","","","",""
"0361","","(타는 곳)이 맞나요?","3","타다","곳","맞다","","","","",""
"0362","","(여기서 내리는) 것이 맞나요?","3","여기","내리다","맞다","","","","",""
"0363","","(여기서 갈아타는 것)이 맞습니다.","3","여기","갈아타다","맞다","","","","",""
"0364","","(여기서 갈아탈) 수 있습니다.","3","내리다","갈아타다","가능","","","","",""
